brand_name,color_name
panchroma dual matte pla,matte shadow black
panchroma dual matte pla,matte shadow red
panchroma dual matte pla,matte shadow orange
panchroma dual matte pla,matte foggy orange
panchroma dual matte pla,matte foggy purple
panchroma dual matte pla,matte glacier blue
panchroma dual matte pla,matte flamingo
panchroma dual matte pla,matte chameleon
panchroma dual matte pla,matte sunrise
panchroma dual matte pla,matte camouflage
panchroma dual matte pla,matte mixed berries
Panchroma Dual Silk PLA,Dual Silk Aubergine Silk Lime-Magenta
Panchroma Dual Silk PLA,Dual Silk Banquet Silk Gold-Magenta
Panchroma PLA,Teal
Panchroma Temp Shift PLA,Temperature Color Change Green/Lime
Panchroma Temp Shift PLA,Temperature Color Change Purple/Pink/Translucent
Polymaker PETG,Teal
panchroma galaxy pla,galaxy black
panchroma galaxy pla,galaxy dark blue
panchroma galaxy pla,galaxy dark red
panchroma galaxy pla,hedgehog makes - galaxy red
panchroma gradient matte pla,gradient matte gradient wood
panchroma matte pla,matte charcoal black
panchroma matte pla,matte cotton white
panchroma matte pla,matte army beige
panchroma matte pla,matte army brown
panchroma matte pla,matte earth brown
panchroma matte pla,matte muted white
panchroma matte pla,matte pastel peanut
panchroma matte pla,matte wood brown
panchroma matte pla,matte pastel peach
panchroma matte pla,matte sunrise orange
panchroma matte pla,matte pastel banana
panchroma matte pla,matte army light green
panchroma matte pla,matte savannah yellow
panchroma matte pla,matte army dark green
panchroma matte pla,matte pastel mint
panchroma matte pla,matte muted green
panchroma matte pla,matte forest green
panchroma matte pla,matte arctic teal
panchroma matte pla,matte pastel ice
panchroma matte pla,matte sapphire blue
panchroma matte pla,matte army blue
panchroma matte pla,matte muted blue
panchroma matte pla,matte fossil grey
panchroma matte pla,matte lavender purple
panchroma matte pla,matte muted purple
panchroma matte pla,matte pastel candy
panchroma matte pla,matte sakura pink
panchroma matte pla,matte pastel watermelon
panchroma matte pla,matte lava red
panchroma matte pla,matte army red
panchroma matte pla,matte muted red
panchroma starlight pla,starlight comet
panchroma starlight pla,starlight meteor
panchroma starlight pla,starlight aurora
panchroma starlight pla,starlight nebula
panchroma starlight pla,starlight twilight
panchroma starlight pla,starlight mars
panchroma starlight pla,starlight midnight
panchroma starlight pla,starlight pulsar
panchroma uv shift pla,uv shift natural/orange
polylite cospla,version a - durability with extra sand-ability
polylite cospla,version b - sand-ability with extra durability
polymaker petg,black
polymaker petg,dark grey
polymaker petg,silver
polymaker petg,grey
polymaker petg,white
polymaker petg,pink
polymaker petg,magenta
polymaker petg,red
polymaker petg,orange
polymaker petg,green
polymaker petg,yellow
polymaker petg,lime
polymaker petg,dark green
polymaker petg,electric blue
polymaker petg,blue
polymaker petg,dark blue
polymaker petg,purple
polymaker petg,dark purple
polymaker petg,gold
polymaker petg,polymaker teal
polymaker petg,clear
panchroma starlight pla,starlight jupiter
panchroma starlight pla,starlight neptune
panchroma silk pla,silk pink
PolySonic PLA,Polymaker Teal
PolyMax PLA,Polymaker Teal
Polymaker,polydissolve s1
Polymaker,polysupport for pa12
Polymaker,polysupport for pla
Fiberon PETG-ESD,Black
PolyDissolve S1,Natural
PolyFlex TPU90,Black
PolyFlex TPU90,White
PolyFlex TPU90,Grey
PolyFlex TPU90,Polymaker Teal
PolyFlex TPU90,Clear
PolyFlex TPU95,Black
PolyFlex TPU95,White
PolyFlex TPU95,Blue
PolyFlex TPU95,Red
PolyFlex TPU95,Yellow
PolyFlex TPU95,Orange
PolyFlex TPU95-HF,Black
PolyFlex TPU95-HF,White
PolyFlex TPU95-HF,Clear
PolyLite ABS,Black
PolyLite ABS,White
PolyLite ABS,Grey
PolyLite ABS,Blue
PolyLite ABS,Red
PolyLite ABS,Green
PolyLite ABS,Yellow
PolyLite ABS,Orange
PolyLite ABS,Teal
PolyLite ABS,Purple
PolyLite ABS,Pink
PolyLite ABS,Lime
PolyLite ABS,Light Blue
PolyLite ABS,Dark Grey
PolyLite ABS,Gold
PolyLite ABS,Dark Purple
PolyLite ABS,Natural
PolyLite Galaxy ABS,Galaxy Black
PolyLite Galaxy ABS,Galaxy Dark Grey
PolyLite Galaxy ABS,Galaxy Purple
PolyLite Galaxy ABS,Galaxy Teal
PolyLite Galaxy ABS,Galaxy Orange
PolyLite LW-PLA,Black
PolyLite LW-PLA,White
PolyLite LW-PLA,Grey
PolyLite LW-PLA,Wood
PolyLite LW-PLA,Bright Orange
PolyLite LW-PLA,Bright Yellow
PolyLite LW-PLA,Bright Green
PolyLite LW-PLA,Bright Red
PolyLite Metallic ABS,Metallic Blue
PolyLite Metallic ABS,Metallic Green
PolyLite Neon ABS,Neon Green
PolyLite Neon ABS,Neon Yellow
PolyLite Neon ABS,Neon Orange
PolyLite Neon ABS,Neon Magenta
PolyMax PC-FR,Black
PolyMax PC-FR,White
PolyMax PETG,Black
PolyMax PETG,White
PolyMide CoPA,Black
PolyMide CoPA,Natural
PolySonic PLA,Polymaker Teal
PolySonic PLA Pro,Polymaker Teal
PolySupport for PA12,Grass Green
PolySupport for PLA,Pearl White
