Title,Vendor,Product Type,Variant Title,Price,SKU,Available,brand_name,color_name
"YELLOW PLA FILAMENT - 1.75MM, 1KG SPOOL",HATCHBOX,3D-Filament,Default Title,28.00,3D PLA-1KG1.75-YLW,True,PLA,Yellow
"GLOW IN THE DARK PLA FILAMENT - 1.75MM, 1KG SPOOL",HATCHBOX,3D-Filament,Default Title,33.00,3D PLA-1KG1.75-GLOW,True,PLA,Glow In The Dark
"WOOD PLA FILAMENT - 1.75MM, 1KG SPOOL",HATCHBOX,3D-Filament,Default Title,36.00,3D WOOD-1KG1.75,True,PLA,Wood
"BLACK MATTE PLA FILAMENT - 1.75MM, 1KG SPOOL",HATCHBOX,3D-Filament,Default Title,28.00,3D PLA-1KG1.75-MAT-BLK,True,PLA,Black Matte
"NAVY MATTE PLA FILAMENT - 1.75MM, 1KG SPOOL",HATCHBOX,3D-Filament,Default Title,28.00,3D PLA-1KG1.75-MAT-NVY,True,PLA,Navy Matte
"PINK PLA FILAMENT - 1.75MM, 1KG SPOOL",HATCHBOX,3D-Filament,Default Title,28.00,3D PLA-1KG1.75-PNK,True,PLA,Pink
"WHITE ABS FILAMENT - 1.75MM, 1KG SPOOL",HATCHBOX,3D-Filament,Default Title,25.00,3D ABS-1KG1.75-WHT,True,ABS,White
"RED ABS FILAMENT - 1.75MM, 1KG SPOOL",HATCHBOX,3D-Filament,Default Title,25.00,3D ABS-1KG1.75-RED,True,ABS,Red
"SILVER PETG FILAMENT - 1.75MM, 1KG SPOOL",HATCHBOX,3D-Filament,Default Title,26.00,3D PETG-1KG1.75-SLV,True,PETG,Silver
"ASH GRAY MATTE PLA FILAMENT - 1.75MM, 1KG SPOOL",HATCHBOX,3D-Filament,Default Title,28.00,3D PLA-1KG1.75-MAT-AGRY,True,PLA,Ash Gray Matte
"RED PETG FILAMENT - 1.75MM, 1KG SPOOL",HATCHBOX,3D-Filament,Default Title,26.00,3D PETG-1KG1.75-RED,True,PETG,Red
"METALLIC FINISH BLACK PLA FILAMENT - 1.75MM, 1KG SPOOL",HATCHBOX,3D-Filament,Default Title,29.00,3D PLA-1KG1.75-SHNY-BLK,True,PLA,Metallic Finish Black
"LIGHT BLUE PLA FILAMENT - 1.75MM, 1KG SPOOL",HATCHBOX,3D-Filament,Default Title,28.00,3D PLA-1KG1.75-285C,True,PLA,Light Blue
"GREEN PETG FILAMENT - 1.75MM, 1KG SPOOL",HATCHBOX,3D-Filament,Default Title,26.00,3D PETG-1KG1.75-GRN,True,PETG,Green
"SILK GOLD PLA FILAMENT - 1.75MM, 1KG SPOOL",HATCHBOX,3D-Filament,Default Title,29.00,3D PLA-1KG1.75-SILK-GLD,True,PLA,Silk Gold
"FOREST GREEN PLA FILAMENT - 1.75MM, 1KG SPOOL",HATCHBOX,3D-Filament,Default Title,28.00,3D PLA-1KG1.75-FGRN,True,PLA,Forest Green
"SILK MINT PLA FILAMENT - 1.75MM, 1KG SPOOL",HATCHBOX,3D-Filament,Default Title,29.00,3D PLA-1KG1.75-SILK-MINT,True,PLA,Silk Mint
"BLACK PLA PRO+ FILAMENT - 1.75MM, 1KG SPOOL",HATCHBOX,3D-Filament,Default Title,30.00,3D PLAP-1KG1.75-BLK,True,,
"SILK WHITE PLA FILAMENT - 1.75MM, 1KG SPOOL",HATCHBOX,3D-Filament,Default Title,29.00,3D PLA-1KG1.75-SILK-WHT,True,PLA,Silk White
"METALLIC FINISH PURPLE PLA FILAMENT - 1.75MM, 1KG SPOOL",HATCHBOX,3D-Filament,Default Title,29.00,3D PLA-1KG1.75-SHNY-PUR,True,PLA,Metallic Finish Purple
"METALLIC FINISH RED PLA FILAMENT - 1.75MM, 1KG SPOOL",HATCHBOX,3D-Filament,Default Title,29.00,3D PLA-1KG1.75-SHNY-RED,True,PLA,Metallic Finish Red
"SILVER TPU FILAMENT - 1.75MM, 1KG SPOOL (SHORE 95A)",HATCHBOX,3D-Filament,Default Title,37.00,3D TPU-1KG1.75-SLV,True,,Silver Tpu
"METALLIC FINISH GREEN PLA FILAMENT - 1.75MM, 1KG SPOOL",HATCHBOX,3D-Filament,Default Title,29.00,3D PLA-1KG1.75-SHNY-GRN,True,PLA,Metallic Finish Green
"IRON RED PLA PRO+ FILAMENT - 1.75MM, 1KG SPOOL",HATCHBOX,3D-Filament,Default Title,30.00,3D PLAP-1KG1.75-INRED,True,,
"METALLIC FINISH WHITE PLA FILAMENT - 1.75MM, 1KG SPOOL",HATCHBOX,3D-Filament,Default Title,29.00,3D PLA-1KG1.75-SHNY-WHT,True,PLA,Metallic Finish White
"UV COLOR CHANGING PURPLE PLA FILAMENT - 1.75MM, 1KG SPOOL",HATCHBOX,3D-Filament,Default Title,36.00,3D PLA-1KG1.75-UVPUR,True,PLA,Uv Color Changing Purple
"WHITE TPU FILAMENT - 1.75MM, 1KG SPOOL (SHORE 95A)",HATCHBOX,3D-Filament,Default Title,37.00,3D TPU-1KG1.75-WHT,True,,White Tpu
"KRAFT MATTE PLA FILAMENT - 1.75MM, 1KG SPOOL",HATCHBOX,3D-Filament,Default Title,28.00,3D PLA-1KG1.75-MAT-KRT,True,PLA,Kraft Matte
"STONE GRAY MATTE PLA FILAMENT - 1.75MM, 1KG SPOOL",HATCHBOX,3D-Filament,Default Title,28.00,3D PLA-1KG1.75-MAT-WGRY,True,PLA,Stone Gray Matte
"BLUE TPU FILAMENT - 1.75MM, 1KG SPOOL (SHORE 95A)",HATCHBOX,3D-Filament,Default Title,37.00,3D TPU-1KG1.75-BLU,True,,Blue Tpu
